date,gross_return,cost,net_return,n_holdings,exposure,equity_gross,equity_net
2015-02-02,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-02-03,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-02-04,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-02-05,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-02-06,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-02-09,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-02-10,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-02-11,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-02-12,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-02-13,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-02-17,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-02-18,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-02-19,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-02-20,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-02-23,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-02-24,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-02-25,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-02-26,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-02-27,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-02,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-03,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-04,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-05,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-06,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-09,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-10,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-11,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-12,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-13,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-16,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-17,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-18,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-19,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-20,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-23,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-24,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-25,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-26,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-27,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-30,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-03-31,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-04-01,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-04-02,0.0,0.0,0.0,0,0.0,1.0,1.0
2015-04-06,0.0,0.0,0.0,0,0.0,1.0,1.0
