date,gross_return,cost,net_return,w_XLB,w_XLE,w_XLF,w_XLI,w_XLK,w_XLP,w_XLU,w_XLV,w_XLY,equity_net,equity_gross
2000-04-03,-0.009433335677758095,0.0005,-0.009933335677758096,0.0,0.3400724241110495,0.0,0.0,0.32631051990174015,0.0,0.0,0.33361705598721053,0.0,0.9900666643222419,0.9905666643222419
2000-04-04,-0.011150213719654923,0.0,-0.011150213719654923,0.0,0.3395925528963607,0.0,0.0,0.3268004454202472,0.0,0.0,0.33360700168339213,0.0,0.979027209418343,0.9795216343114832
2000-04-05,-0.01021619693806718,0.0,-0.01021619693806718,0.0,0.33289249504851315,0.0,0.0,0.332322526778899,0.0,0.0,0.3347849781725879,0.0,0.9690252746391989,0.9695146483902597
2000-04-06,0.019387230856881134,0.0,0.019387230856881134,0.0,0.33510580983335575,0.0,0.0,0.3302011100163014,0.0,0.0,0.33469308015034277,0.0,0.9878119913447817,0.9883108526977297
2000-04-07,0.0069415109265386485,0.0,0.0069415109265386485,0.0,0.3276487368364838,0.0,0.0,0.33912160848707223,0.0,0.0,0.33322965467644383,0.0,0.9946688990760675,0.9951712232805477
2000-04-10,-0.019264534109593914,0.0,-0.019264534109593914,0.0,0.32919223630056266,0.0,0.0,0.3332846173472253,0.0,0.0,0.337523146352212,0.0,0.9755070661420643,0.9759997133047733
2000-04-11,0.0005507151943896652,0.0,0.0005507151943896652,0.0,0.33480811692604207,0.0,0.0,0.3249102300599669,0.0,0.0,0.34028165301399116,0.0,0.9760442927056233,0.9765372111766103
2000-04-12,-0.024326833235826885,0.0,-0.024326833235826885,0.0,0.34613187585244665,0.0,0.0,0.3114544088509725,0.0,0.0,0.34241371529658093,0.0,0.952300225966193,0.9527811532917375
2000-04-13,-0.01530304758365204,0.0,-0.01530304758365204,0.0,0.3507728885337246,0.0,0.0,0.31027483497004427,0.0,0.0,0.33895227649623105,0.0,0.9377271302943098,0.9382006979661072
2000-04-14,-0.04473346600350794,0.0,-0.04473346600350794,0.0,0.3591320407990783,0.0,0.0,0.30764138901507704,0.0,0.0,0.3332265701858447,0.0,0.8957793455907223,0.8962317289391729
